"Date","Price","Open","High","Low","Change %"
"Jan 09, 2018","6.5350","6.4966","6.5396","6.4962","0.59%"
"Jan 08, 2018","6.4965","6.4776","6.5019","6.4658","0.25%"
"Jan 05, 2018","6.4805","6.4905","6.4919","6.4726","-0.18%"
"Jan 04, 2018","6.4919","6.4949","6.5105","6.4818","-0.09%"
"Jan 03, 2018","6.4977","6.5022","6.5110","6.4906","-0.07%"
"Jan 02, 2018","6.5022","6.5148","6.5191","6.4886","-0.18%"
"Jan 01, 2018","6.5140","6.5140","6.5148","6.5140","0.00%"
"Dec 29, 2017","6.5140","6.5321","6.5355","6.5098","-0.26%"
"Dec 28, 2017","6.5309","6.5536","6.5578","6.5248","-0.35%"
"Dec 27, 2017","6.5538","6.5411","6.5639","6.5405","0.19%"
"Dec 26, 2017","6.5412","6.5524","6.5564","6.5342","-0.22%"
"Dec 25, 2017","6.5557","6.5664","6.5715","6.5438","-0.14%"
"Dec 22, 2017","6.5652","6.5653","6.5770","6.5614","-0.02%"
"Dec 21, 2017","6.5664","6.5649","6.5836","6.5473","0.02%"
"Dec 20, 2017","6.5648","6.6045","6.6073","6.5623","-0.62%"
"Dec 19, 2017","6.6059","6.6091","6.6177","6.6022","-0.05%"
"Dec 18, 2017","6.6090","6.6062","6.6190","6.6047","0.03%"
"Dec 15, 2017","6.6067","6.6051","6.6136","6.6007","-0.01%"
"Dec 14, 2017","6.6071","6.6131","6.6166","6.6041","-0.09%"
"Dec 13, 2017","6.6131","6.6272","6.6319","6.6115","-0.22%"
"Dec 12, 2017","6.6277","6.6222","6.6335","6.6190","0.09%"
"Dec 11, 2017","6.6215","6.6245","6.6274","6.6175","-0.03%"
"Dec 08, 2017","6.6232","6.6248","6.6299","6.6172","-0.01%"
"Dec 07, 2017","6.6239","6.6175","6.6250","6.6159","0.09%"
"Dec 06, 2017","6.6180","6.6185","6.6254","6.6136","0.01%"
"Dec 05, 2017","6.6176","6.6163","6.6276","6.6113","0.01%"
"Dec 04, 2017","6.6171","6.5983","6.6258","6.5983","0.34%"
"Dec 01, 2017","6.5949","6.6117","6.6180","6.5933","-0.25%"
"Nov 30, 2017","6.6114","6.6110","6.6283","6.6092","-0.01%"
"Nov 29, 2017","6.6122","6.6087","6.6236","6.5977","0.06%"
"Nov 28, 2017","6.6081","6.5983","6.6110","6.5943","0.16%"
"Nov 27, 2017","6.5975","6.5877","6.6032","6.5869","0.14%"
"Nov 24, 2017","6.5883","6.5777","6.6052","6.5681","0.14%"
"Nov 23, 2017","6.5791","6.5966","6.6022","6.5782","-0.26%"
"Nov 22, 2017","6.5961","6.6276","6.6357","6.5960","-0.46%"
